File Name: marcha_2.log
Channel 4: 'Recto Femoral', 51376 values, engineering units: mV, no filters.
Channel 5: 'Biceps Femoral', 51376 values, engineering units: mV, no filters.
Channel 6: 'Vasto Medial', 51376 values, engineering units: mV, no filters.
Channel 7: 'EMG Semitendinoso', 51376 values, engineering units: mV, no filters.
Channel 8: 'Flexo-Extension', 51376 values, engineering units: deg, no filters.

0.0082	-0.0008	-0.0135	0.003	0.4
-0.0195	0.003	-0.0315	0.0045	0.6
-0.027	0.003	-0.027	0.0015	0.4
0.0045	0.0007	-0.0323	-0.003	0.6
0.045	-0.003	-0.054	-0.0075	0.4
0.0352	-0.0046	-0.0465	-0.0091	0.7
0.03	-0.0113	0.0157	-0.0135	0.6
0.0135	-0.012	0.0502	-0.0113	0.7
-0.0083	-0.0015	0.063	-0.0008	0.6
-0.0308	0.003	0.0855	0.0007	0.6
-0.045	0.003	0.0825	0.003	0.5
-0.0338	0.0007	0.0495	0.003	0.7
-0.0428	-0.0015	-0.0015	0.0082	0.6
-0.0361	0.0007	-0.0083	0.012	0.7
-0.0195	-0.0023	0.0082	0.0075	0.6
-0.0181	-0.0075	0.012	0.0045	0.5
-0.0248	-0.0053	0.0315	0.0037	0.5
-0.0203	-0.0023	0.039	0.0007	0.5
0.009	-0.0046	0.0285	-0.0008	0.8
0.036	-0.0046	0.0195	0.003	0.5
0.045	-0.0015	0.0075	-0.0015	0.6
0.0292	0.0045	-0.0053	0.0022	0.4
0.009	0.0112	-0.0113	0.0082	0.7
-0.0075	0.0127	-0.0263	0.009	0.5
-0.0008	0.0105	-0.0256	0.0045	0.7
0.033	0.0067	-0.012	-0.0015	0.6
0.0607	0.0045	-0.0023	0	0.7
0.0742	0.0037	0.0082	0	0.7
0.075	0.0045	0.0105	0.0082	0.7
0.0652	0.0052	0.0022	0.0082	0.6
0.0555	0.0052	0.0007	0.006	0.5
0.0472	0.009	0.054	0.0105	0.6
0.0262	0.0105	0.1425	0.0052	0.8
0.0097	0.003	0.135	-0.0023	0.7
0.0247	-0.0015	0.039	-0.0068	0.7
0.0427	-0.0038	-0.0195	-0.0083	0.6
0.033	-0.0053	-0.0623	-0.0083	0.6
0.033	-0.0038	-0.063	-0.0091	0.6
0.039	-0.0053	-0.0443	-0.0075	0.4
0.039	-0.0015	-0.0555	-0.0083	0.7
0.024	-0.0008	-0.054	-0.0105	0.6
0.0082	-0.003	-0.0788	-0.0135	0.7
0.0082	-0.0046	-0.0518	-0.0038	0.7
-0.0233	0.0022	0	0.009	0.7
-0.0443	0.009	0.0052	0.012	0.6
-0.0503	0.0105	-0.0038	0.0112	0.6
-0.0638	0.0082	-0.0158	0.0075	0.6
-0.0668	0.0045	-0.0083	0.0052	0.5
-0.0533	0.0022	0.012	0.0067	0.6
-0.0195	-0.0008	0.1005	0.0045	0.7
0.0052	-0.0015	0.1815	0.0045	0.5
0.0105	0	0.123	0.0052	0.7
0.0015	0.003	0.0367	0.0045	0.7
-0.012	0.0022	-0.0091	0.003	0.6
-0.0465	0.003	-0.0615	-0.0008	0.7
-0.0773	0.003	-0.0975	-0.0083	0.4
-0.0706	-0.0083	-0.135	-0.0195	0.7
-0.042	-0.0143	-0.1508	-0.0128	0.4
-0.0091	-0.0068	-0.1125	-0.0015	0.7
0.0022	-0.003	-0.0563	-0.0068	0.7
-0.0218	-0.0046	0.0052	-0.012	0.7
-0.057	-0.0046	0.0517	-0.0105	0.6
-0.0608	-0.0023	0.078	-0.0083	0.7
-0.0173	-0.003	0.078	-0.0068	0.8
0.0367	-0.0046	0.0697	-0.0038	0.7
0.0592	-0.0038	0.063	0.0015	0.6
0.0315	-0.0046	0.0577	0.0037	0.7
-0.0181	-0.0038	0.0465	0.009	0.6
-0.0353	0.0037	0.0315	0.0142	0.7
-0.0323	0.0082	0.0277	0.0157	0.7
-0.024	0.0067	0.0195	0.0127	0.7
-0.0083	0.0075	0.0165	0.009	0.7
0.009	0.0075	0.015	0.0082	0.7
0.018	0.0052	0.0112	0.0045	0.7
0.0097	0.0022	0.009	-0.0023	0.6
0.0037	-0.0015	0.0112	-0.0053	0.6
0.003	0	0.0105	-0.0053	0.6
0.0045	-0.0015	0.009	-0.0068	0.8
0.0157	-0.003	0.0187	-0.0105	0.5
0.0172	-0.0068	0.0262	-0.0188	0.7
0.0112	-0.0158	0.0442	-0.0218	0.7
0.0097	-0.0143	0.0787	-0.0181	0.6
0.009	-0.0083	0.075	-0.0068	0.4
0.0007	-0.0008	0.024	0.003	0.8
0.0022	0.003	0.0045	0.0052	0.5
0.0112	0.003	-0.0128	0.0075	0.7
0.0157	0.0067	-0.0361	0.009	0.4
0.0195	0.0112	-0.0383	0.0105	0.6
0.0195	0.0112	-0.0465	0.0067	0.5
0.0405	0.0075	-0.0691	0.0067	0.6
0.045	0.0052	-0.099	0.0067	0.7
0.027	0.0052	-0.0923	0.009	0.5
-0.0008	0.0037	-0.06	0.009	0.7
-0.0248	0.0007	-0.0225	0.003	0.7
-0.0308	-0.0015	0.0007	-0.0015	0.7
-0.0353	-0.0091	0.0052	-0.0113	0.6
-0.0181	-0.0128	0.024	-0.012	0.5
0.0075	-0.0105	0.0345	-0.0046	0.7
0.027	-0.0046	0.033	-0.003	0.6
0.0217	-0.0015	0.0187	-0.0015	0.5
0.0082	-0.0008	0.0195	0.0037	0.6
-0.0068	0.0045	0.0202	0.009	0.7
-0.0248	0.009	-0.021	0.0157	0.7
-0.0353	0.015	-0.0361	0.0165	0.5
-0.0278	0.0112	0.0127	0.0105	0.7
0.0045	0.0067	0.0525	0.0067	0.6
