File Name: 10Asen.log
Channel 1: 'Recto femoral', 19740 values, engineering units: mV, no filters.
Channel 2: 'Biceps Femoral', 19740 values, engineering units: mV, no filters.
Channel 3: 'Vasto Medial', 19740 values, engineering units: mV, no filters.
Channel 4: 'Semitendinoso', 19740 values, engineering units: mV, no filters.
Channel 5: 'Flexo', 19740 values, engineering units: deg, no filters.
Digitals combined (event=16, d=8, c=4, b=2, a=1): 19740 values, .

0.0007	0	0.0007	0.0022	79.2	31
0.0022	-0.0053	0.0015	0.0037	79.1	31
0.0015	-0.006	-0.0008	0.0015	79.2	31
0.0015	-0.0053	-0.003	0.0007	79.3	31
0.0015	-0.0075	-0.003	0.0007	79.1	31
0.0022	-0.0068	-0.0008	0.0007	79.2	31
0.003	-0.0068	-0.0008	0.0015	79.4	31
0.0037	-0.0053	-0.003	0.0007	79	31
0.0045	-0.0053	-0.0046	0.0015	79.3	31
0.0007	-0.0046	-0.0015	0.0015	79.1	31
0.0015	-0.003	0.0007	0.0022	79.1	31
0.0015	-0.0015	0	0.003	79.2	31
0.0007	-0.0015	0.0007	0.0015	79.2	31
0.0007	0.0007	0	0.0007	79.2	31
0.0015	0.0007	0.0007	0.0007	79.2	31
0.0015	0.0007	-0.0008	0.0007	79	31
0	0.0015	0	0.0007	79.3	31
0.0007	0.0015	0.0022	0.0022	79.4	31
0.0007	0.0015	0.0007	0.0015	79	31
-0.0015	0.0022	0.003	0	79.3	31
-0.0015	0.0022	0.0022	0.0015	79.2	31
-0.0023	0.0007	0.0022	0.0022	79.2	31
0	0.0007	0.0015	0.003	79.3	31
0.0007	0.0015	0	0.0022	79.1	31
-0.0008	0.003	-0.0015	0.0007	79.3	31
-0.0008	0.003	-0.0046	0.0015	79.2	31
-0.0023	0.003	-0.0053	0.0015	79.3	31
-0.003	0.0015	-0.0053	0.0015	79.2	31
0	0.0015	-0.003	0.0015	79.3	31
0.0007	0.0007	-0.0015	0.0022	79.2	31
-0.0008	0.0015	-0.0023	0.0022	79.2	31
0	0.0045	-0.0008	0.0015	79.2	31
-0.0008	0.0015	-0.0015	0.003	79.3	31
-0.0008	0.0015	0.0007	0.0015	79.3	31
-0.0008	0.0037	0.003	0.003	79.2	31
0	0.0022	0.0007	0.0045	79.3	31
0.0007	0.003	0.0007	0.0037	79.1	31
-0.0008	0.003	0.0007	0.0015	79.6	31
-0.0008	0.0007	0.0007	0.0007	79.1	31
-0.0008	0.0007	0.003	0.0022	79.4	31
0.0007	0.0007	0.003	0.0022	79.1	31
-0.0008	-0.0008	0.0015	0.0015	79.3	31
-0.0015	-0.0023	-0.0008	0.0015	79.2	31
-0.0015	-0.003	-0.0008	-0.0008	79.3	31
-0.0023	-0.0023	0.0007	0	79.2	31
-0.0008	-0.003	-0.0015	0	79.4	31
-0.0008	-0.0015	-0.0015	-0.0008	79.2	31
0.0007	0.0007	-0.0015	0.0007	79.2	31
-0.0008	0.0007	-0.0015	0.0007	79.3	31
-0.0008	-0.0008	-0.0015	0	79	31
-0.0008	-0.0015	-0.0038	0	79.6	31
-0.0023	-0.0008	-0.0023	0.0007	79.1	31
0.0007	-0.0015	-0.003	0.003	79.3	31
-0.0015	0.0007	-0.003	0.0045	79.3	31
-0.0008	0	-0.0015	0.003	79.1	31
-0.0008	-0.0015	-0.0023	0.0015	79.4	31
-0.0023	0.0007	-0.0015	0.0007	79	31
-0.003	-0.0008	-0.0008	0.0007	79.5	31
-0.0046	-0.0015	0.0007	0.0007	79.2	31
-0.0015	-0.0015	0.0007	0	79.3	31
-0.003	-0.003	0.0015	0.0007	79.3	31
-0.0015	-0.003	0.0015	0.0007	79.3	31
-0.0015	-0.0046	0.0015	0.0015	79.3	31
-0.0008	-0.0046	0.003	0.0037	79.2	31
-0.0008	-0.0023	0.0015	0.0045	79.3	31
0.0007	-0.0015	0.0015	0.0037	79.3	31
0.0007	-0.0015	0.0052	0.003	79.4	31
-0.0008	-0.0008	0.006	0.0015	79.1	31
-0.0008	0	0.003	0.0007	79.4	31
-0.0008	-0.0015	0	0	78.9	31
0.0007	-0.003	0	0	79.4	31
0.0022	-0.0038	0.0015	0.0015	79	31
0.0045	-0.003	0.0007	0.0022	79.3	31
0.003	0.0007	-0.0008	0.0015	79.2	31
0.003	0	-0.0008	0.0045	79.2	31
0.0052	-0.0008	0.0015	0.0015	79.3	31
0.006	0.0007	0	0.0015	79.2	31
0.0052	0.0015	-0.0008	0.0045	79.2	31
0.003	0.0015	0.0007	0.0037	79.3	31
0.003	0.0007	-0.0008	0.0037	79.3	31
0.0015	0.003	0.0007	0.0022	79.1	31
0	0.0015	0.0007	0.0022	79.3	31
0	0.0007	0	0.003	79.2	31
-0.0008	0.0022	0.0007	0.0015	79.2	31
0	0.0007	0	0.0022	79.3	31
